i,t,m,j,Expenditure
1010101601002,2015-16,Tigray,Horsebeans,15
1010101601002,2015-16,Tigray,Oils,4
1010101601002,2015-16,Tigray,Onion,6
1010101601002,2015-16,Tigray,Tomato,7
1010101601017,2015-16,Tigray,Eggs,12
1010101601017,2015-16,Tigray,Horsebeans,60
1010101601017,2015-16,Tigray,Onion,12
1010101601017,2015-16,Tigray,Tea,25
1010101601017,2015-16,Tigray,Tomato,10
1010101601034,2015-16,Tigray,Berbere,15
1010101601034,2015-16,Tigray,Coffee,20
1010101601034,2015-16,Tigray,Horsebeans,15
1010101601034,2015-16,Tigray,Oils,9
1010101601034,2015-16,Tigray,Onion,7
1010101601034,2015-16,Tigray,Salt,2.5
1010101601034,2015-16,Tigray,Sugar,100
1010101601034,2015-16,Tigray,Tomato,12
1010101601049,2015-16,Tigray,Berbere,15
1010101601049,2015-16,Tigray,Coffee,20
1010101601049,2015-16,Tigray,Horsebeans,15
1010101601049,2015-16,Tigray,Onion,7
1010101601049,2015-16,Tigray,Salt,2.5
1010101601049,2015-16,Tigray,Sorghum,120
1010101601049,2015-16,Tigray,Sugar,20
1010101601049,2015-16,Tigray,Tomato,14
1010101601064,2015-16,Tigray,Beef,100
1010101601064,2015-16,Tigray,Berbere,25
1010101601064,2015-16,Tigray,Coffee,20
1010101601064,2015-16,Tigray,Horsebeans,30
1010101601064,2015-16,Tigray,Leafy Greens,4
1010101601064,2015-16,Tigray,Oils,16
1010101601064,2015-16,Tigray,Onion,7
1010101601064,2015-16,Tigray,Salt,2.5
1010101601064,2015-16,Tigray,Soda,10
1010101601064,2015-16,Tigray,Sugar,10
1010101601064,2015-16,Tigray,Tella,4
1010101601064,2015-16,Tigray,Tomato,12
1010101601080,2015-16,Tigray,Beer,120
1010101601080,2015-16,Tigray,Berbere,20
1010101601080,2015-16,Tigray,Coffee,11
1010101601080,2015-16,Tigray,Horsebeans,60
1010101601080,2015-16,Tigray,Injera,40
1010101601080,2015-16,Tigray,Kariya,5
1010101601080,2015-16,Tigray,Leafy Greens,5
1010101601080,2015-16,Tigray,Oils,27
1010101601080,2015-16,Tigray,Onion,14
1010101601080,2015-16,Tigray,Potato,14
1010101601080,2015-16,Tigray,Sorghum,70
1010101601080,2015-16,Tigray,Sugar,12
1010101601080,2015-16,Tigray,Tomato,28
1010101601087,2015-16,Tigray,Berbere,17
1010101601087,2015-16,Tigray,Coffee,25
1010101601087,2015-16,Tigray,Horsebeans,30
1010101601087,2015-16,Tigray,Oils,11
1010101601087,2015-16,Tigray,Onion,12
1010101601087,2015-16,Tigray,Salt,2.5
1010101601087,2015-16,Tigray,Sorghum,45
1010101601087,2015-16,Tigray,Sugar,9
1010101601087,2015-16,Tigray,Tella,20
1010101601087,2015-16,Tigray,Tomato,10
1010101601101,2015-16,Tigray,Beef,500
1010101601101,2015-16,Tigray,Coffee,20
1010101601101,2015-16,Tigray,Kariya,2
1010101601101,2015-16,Tigray,Leafy Greens,5
1010101601101,2015-16,Tigray,Oils,9
1010101601101,2015-16,Tigray,Onion,7
1010101601101,2015-16,Tigray,Salt,1.5
1010101601101,2015-16,Tigray,Soda,10
1010101601101,2015-16,Tigray,Sugar,10
1010101601101,2015-16,Tigray,Tomato,6
1010101601116,2015-16,Tigray,Berbere,35
1010101601116,2015-16,Tigray,Coffee,23
1010101601116,2015-16,Tigray,Kariya,10
1010101601116,2015-16,Tigray,Oils,9
1010101601116,2015-16,Tigray,Onion,13
1010101601116,2015-16,Tigray,Salt,3
1010101601131,2015-16,Tigray,Beef,100
1010101601131,2015-16,Tigray,Bread/biscuit,20
1010101601131,2015-16,Tigray,Chick Pea,50
1010101601131,2015-16,Tigray,Coffee,45
1010101601131,2015-16,Tigray,Goat & mutton meat,225
1010101601131,2015-16,Tigray,Horsebeans,45
1010101601131,2015-16,Tigray,Kariya,5
1010101601131,2015-16,Tigray,Leafy Greens,5
1010101601131,2015-16,Tigray,Oils,27
1010101601131,2015-16,Tigray,Onion,14
1010101601131,2015-16,Tigray,Potato,14
1010101601131,2015-16,Tigray,Salt,1.25
1010101601131,2015-16,Tigray,Soda,10
1010101601131,2015-16,Tigray,Sugar,20
1010101601131,2015-16,Tigray,Tomato,14
1010101601146,2015-16,Tigray,Beef,45
1010101601146,2015-16,Tigray,Coffee,25
1010101601146,2015-16,Tigray,Horsebeans,30
1010101601146,2015-16,Tigray,Oils,15
1010101601146,2015-16,Tigray,Onion,14
1010101601146,2015-16,Tigray,Salt,2.5
1010101601146,2015-16,Tigray,Sugar,15
1010101601146,2015-16,Tigray,Tomato,6
1010201403001,2015-16,Tigray,Beef,300
1010201403001,2015-16,Tigray,Coffee,20
1010201403001,2015-16,Tigray,Goat & mutton meat,100
1010201403001,2015-16,Tigray,Oils,11
1010201403001,2015-16,Tigray,Onion,10
1010201403001,2015-16,Tigray,Salt,4
1010201403001,2015-16,Tigray,Sugar,10
1010201403001,2015-16,Tigray,Tomato,8
1010201403011,2015-16,Tigray,Chick Pea,28
1010201403011,2015-16,Tigray,Coffee,25
1010201403011,2015-16,Tigray,Oils,10
1010201403016,2015-16,Tigray,Berbere,40
1010201403016,2015-16,Tigray,Coffee,20
1010201403016,2015-16,Tigray,Goat & mutton meat,300
1010201403016,2015-16,Tigray,Oils,12
1010201403016,2015-16,Tigray,Onion,10
1010201403016,2015-16,Tigray,Salt,4
1010201403016,2015-16,Tigray,Sugar,12
1010201403026,2015-16,Tigray,Coffee,25
1010201403026,2015-16,Tigray,Onion,5
1010201403026,2015-16,Tigray,Salt,5
1010201403026,2015-16,Tigray,Sugar,15
1010201403031,2015-16,Tigray,Banana,6
1010201403031,2015-16,Tigray,Beef,50
1010201403031,2015-16,Tigray,Coffee,20
1010201403031,2015-16,Tigray,Goat & mutton meat,50
1010201403031,2015-16,Tigray,Oils,10
1010201403031,2015-16,Tigray,Onion,10
1010201403031,2015-16,Tigray,Salt,8
1010201403031,2015-16,Tigray,Sugar,7
1010201403036,2015-16,Tigray,Berbere,15
1010201403036,2015-16,Tigray,Chick Pea,60
1010201403036,2015-16,Tigray,Coffee,20
1010201403036,2015-16,Tigray,Oils,10
1010201403036,2015-16,Tigray,Onion,12
1010201403036,2015-16,Tigray,Salt,4.5
1010201403036,2015-16,Tigray,Sugar,14
1010201403036,2015-16,Tigray,Tomato,10
1010201403046,2015-16,Tigray,Berbere,10
1010201403046,2015-16,Tigray,Coffee,20
1010201403046,2015-16,Tigray,Onion,12
1010201403046,2015-16,Tigray,Salt,4
1010201403046,2015-16,Tigray,Sugar,10
1010201403061,2015-16,Tigray,Coffee,20
1010201403061,2015-16,Tigray,Oils,27
1010201403061,2015-16,Tigray,Onion,10
1010201403061,2015-16,Tigray,Salt,4
1010201403061,2015-16,Tigray,Tomato,8
1010201403091,2015-16,Tigray,Coffee,20
1010201403091,2015-16,Tigray,Kariya,4
1010201403091,2015-16,Tigray,Leafy Greens,10
