t,m,j,u,Price
2015-16,Addis Ababa,Banana,Kg,15.82663687
2015-16,Addis Ababa,Barley,Kg,24.61417133
2015-16,Addis Ababa,Beef,Kg,1722.234772
2015-16,Addis Ababa,Beer,Kg,2155.5272
2015-16,Addis Ababa,Berbere,Kg,182.433182
2015-16,Addis Ababa,Bread/biscuit,Kg,31.2749153
2015-16,Addis Ababa,Bula,Kg,76.70274897
2015-16,Addis Ababa,Butter/ghee,Kg,165.7634617
2015-16,Addis Ababa,Chat/Kat,Kg,366.3449447
2015-16,Addis Ababa,Cheese,Kg,61.39999799
2015-16,Addis Ababa,Chick Pea,Kg,48.27274464
2015-16,Addis Ababa,Coffee,Kg,131.6039124
2015-16,Addis Ababa,Eggs,Kg,33.2359463
2015-16,Addis Ababa,Field Pea,Kg,46.22079301
2015-16,Addis Ababa,Fish,Kg,173.9076957
2015-16,Addis Ababa,Goat & mutton meat,Kg,196.2368386
2015-16,Addis Ababa,Ground nuts,Kg,62.66666445
2015-16,Addis Ababa,Haricot Beans,Kg,39.99999858
2015-16,Addis Ababa,Horsebeans,Kg,31.8845197
2015-16,Addis Ababa,Injera,Kg,16.17322896
2015-16,Addis Ababa,Kariya,Kg,66.55729473
2015-16,Addis Ababa,Kocho,Kg,242.4166576
2015-16,Addis Ababa,Leafy Greens,Kg,26.37488191
2015-16,Addis Ababa,Lentils,Kg,1203.420379
2015-16,Addis Ababa,Linseed,Kg,207.5109991
2015-16,Addis Ababa,Maize,Kg,20.96172776
2015-16,Addis Ababa,Milk,Kg,67.14426454
2015-16,Addis Ababa,Niger Seed,Kg,109.230765
2015-16,Addis Ababa,Oils,Kg,45.4062292
2015-16,Addis Ababa,Onion,Kg,34.01550233
2015-16,Addis Ababa,Orange,Kg,23.5584045
2015-16,Addis Ababa,Other cereal,Kg,24.006788
2015-16,Addis Ababa,Other fruit,Kg,24.68181814
2015-16,Addis Ababa,Other prepared food,Kg,26.52380945
2015-16,Addis Ababa,Other pulse or nut,Kg,26.85869512
2015-16,Addis Ababa,Other seed,Kg,323.7142712
2015-16,Addis Ababa,Other tuber or stem,Kg,9.566334865
2015-16,Addis Ababa,Other vegetable,Kg,18.59999956
2015-16,Addis Ababa,Pasta/Macaroni,Kg,174.3567058
2015-16,Addis Ababa,Potato,Kg,9.686408926
2015-16,Addis Ababa,Poultry,Kg,425.3333169
2015-16,Addis Ababa,Salt,Kg,23.99575787
2015-16,Addis Ababa,Soda,Kg,129.9054393
2015-16,Addis Ababa,Sorghum,Kg,11.07954539
2015-16,Addis Ababa,Sugar,Kg,29.3796019
2015-16,Addis Ababa,Sweet potato,Kg,11.8141593
2015-16,Addis Ababa,Tea,Kg,230.5309391
2015-16,Addis Ababa,Teff,Kg,207.0048754
2015-16,Addis Ababa,Tella,Kg,5.333333333
2015-16,Addis Ababa,Tomato,Kg,11.56366779
2015-16,Addis Ababa,Wheat,Kg,66.62119776
2015-16,Afar,Banana,Kg,17.57325956
2015-16,Afar,Barley,Kg,17.25
2015-16,Afar,Beef,Kg,100
2015-16,Afar,Beer,Kg,42.20779025
2015-16,Afar,Berbere,Kg,99.62146917
2015-16,Afar,Bread/biscuit,Kg,15.4833886
2015-16,Afar,Butter/ghee,Kg,115.7575762
2015-16,Afar,Chat/Kat,Kg,202.4321864
2015-16,Afar,Chick Pea,Kg,17.93463989
2015-16,Afar,Coffee,Kg,166.0975213
2015-16,Afar,Eggs,Kg,20.48433073
2015-16,Afar,Field Pea,Kg,31.17494937
2015-16,Afar,Goat & mutton meat,Kg,155.8741228
2015-16,Afar,Ground nuts,Kg,62.50111092
2015-16,Afar,Haricot Beans,Kg,3
2015-16,Afar,Horsebeans,Kg,29.29545414
2015-16,Afar,Injera,Kg,38.58284826
2015-16,Afar,Kariya,Kg,13.99741986
2015-16,Afar,Leafy Greens,Kg,15.72892665
2015-16,Afar,Lentils,Kg,49.65217161
2015-16,Afar,Linseed,Kg,40.49999915
2015-16,Afar,Maize,Kg,8.779254124
2015-16,Afar,Milk,Kg,38.42646936
2015-16,Afar,Oils,Kg,33.43603833
2015-16,Afar,Onion,Kg,11.47915662
2015-16,Afar,Orange,Kg,26.66666619
2015-16,Afar,Other cereal,Kg,18.4
2015-16,Afar,Other fruit,Kg,20
2015-16,Afar,Other prepared food,Kg,38.4707162
2015-16,Afar,Other pulse or nut,Kg,44.10384716
2015-16,Afar,Other seed,Kg,33.99999839
2015-16,Afar,Other tuber or stem,Kg,11.66666635
2015-16,Afar,Pasta/Macaroni,Kg,27.52272659
2015-16,Afar,Potato,Kg,11.52069181
2015-16,Afar,Salt,Kg,17.85558562
2015-16,Afar,Soda,Kg,64.91227763
2015-16,Afar,Sorghum,Kg,10.14444444
2015-16,Afar,Sugar,Kg,22.1052066
2015-16,Afar,Sweet potato,Kg,8
2015-16,Afar,Tea,Kg,109.6977285
2015-16,Afar,Teff,Kg,19.88275132
2015-16,Afar,Tomato,Kg,10.15252371
2015-16,Afar,Wheat,Kg,12.22836087
2015-16,Amhara,Banana,Kg,12.93225383
2015-16,Amhara,Barley,Kg,29.56784973
2015-16,Amhara,Beef,Kg,123.6235849
2015-16,Amhara,Beer,Kg,49.35533579
2015-16,Amhara,Berbere,Kg,68.16169083
2015-16,Amhara,Boye/Yam,Kg,6
2015-16,Amhara,Bread/biscuit,Kg,29.6806467
2015-16,Amhara,Bula,Kg,12.49999981
2015-16,Amhara,Butter/ghee,Kg,176.0928826
2015-16,Amhara,Cassava,Kg,999.9999851
2015-16,Amhara,Chat/Kat,Kg,204.7977399
2015-16,Amhara,Cheese,Kg,23.74999976
2015-16,Amhara,Chick Pea,Kg,22.98779554
2015-16,Amhara,Coffee,Kg,213.0009396
2015-16,Amhara,Eggs,Kg,16.82025968
2015-16,Amhara,Field Pea,Kg,28.24777455
2015-16,Amhara,Fish,Kg,56.95238089
2015-16,Amhara,Goat & mutton meat,Kg,184.9777574
2015-16,Amhara,Godere,Kg,124.9999981
2015-16,Amhara,Ground nuts,Kg,59.15755814
2015-16,Amhara,Haricot Beans,Kg,12.7252648
2015-16,Amhara,Horsebeans,Kg,26.59199441
2015-16,Amhara,Injera,Kg,21.45527645
2015-16,Amhara,Kariya,Kg,15.2939963
2015-16,Amhara,Leafy Greens,Kg,22.12786864
2015-16,Amhara,Lentils,Kg,225.0271445
