t,m,j,Expenditure
2016-17,Ashanti,Agushie Seed,439.2
2016-17,Ashanti,Akpeteshie,713.5
2016-17,Ashanti,Apple,614
2016-17,Ashanti,Avocado,444
2016-17,Ashanti,Banana,2236.5
2016-17,Ashanti,Beef,23067.94
2016-17,Ashanti,Beef (corned),926.2
2016-17,Ashanti,Beef (face),549
2016-17,Ashanti,Beef (leg),2893
2016-17,Ashanti,Beef (offal),1101
2016-17,Ashanti,Beef (steak),6503.4
2016-17,Ashanti,Beer,2446
2016-17,Ashanti,Biscuit,5350.2
2016-17,Ashanti,Bitters,963.4
2016-17,Ashanti,Bread,28224.8
2016-17,Ashanti,Canned Fruits,69.5
2016-17,Ashanti,Carrot,1110.5
2016-17,Ashanti,Cassava (dough),3657.49
2016-17,Ashanti,Cassava (dried),3030
2016-17,Ashanti,Cassava (fresh),12386.8
2016-17,Ashanti,"Cassava (white, flour)",2156
2016-17,Ashanti,"Cassava (yellow, flour)",155
2016-17,Ashanti,Cerelac (Baby food),3129.7
2016-17,Ashanti,Chewing Gum,368.95
2016-17,Ashanti,Chicken (breast),118
2016-17,Ashanti,Chicken (broiler),1251
2016-17,Ashanti,Chicken (frozen),90
2016-17,Ashanti,Chicken (gizzard),226
2016-17,Ashanti,Chicken (live),9599
2016-17,Ashanti,Chicken (thigh),11727.21
2016-17,Ashanti,Chicken (wing),701.5
2016-17,Ashanti,Chocolate,31
2016-17,Ashanti,Cigarette,361.1
2016-17,Ashanti,Cocoa (milk powder beverages),8206.53
2016-17,Ashanti,Cocoa Powder,13.4
2016-17,Ashanti,Coconut (dried),8
2016-17,Ashanti,Coconut (fresh),1083.5
2016-17,Ashanti,Cocoyam,1442
2016-17,Ashanti,Cocoyam Leaves,2792
2016-17,Ashanti,Coffee,46.4
2016-17,Ashanti,Condiments,2279.66
2016-17,Ashanti,Corflake,152.5
2016-17,Ashanti,Cowpea,1312.8
2016-17,Ashanti,Crab,143
2016-17,Ashanti,Curry Power,127.6
2016-17,Ashanti,Dawadawa,334.7
2016-17,Ashanti,Eggplant,9993.7
2016-17,Ashanti,Eggs,7553
2016-17,Ashanti,Fish (canned),3061.9
2016-17,Ashanti,Fish (dried),3045.8
2016-17,Ashanti,Fish (fried),4756.7
2016-17,Ashanti,Fish (salted),1028.2
2016-17,Ashanti,"Fish (smoked, river)",18087.5
2016-17,Ashanti,"Fish (smoked, sea)",11545
2016-17,Ashanti,Garlic,738.4
2016-17,Ashanti,Gin,16
2016-17,Ashanti,Ginger,1294.8
2016-17,Ashanti,Goat,6763
2016-17,Ashanti,Grape,120
2016-17,Ashanti,Groundnut,3727.48
2016-17,Ashanti,Guinea corn/sorghum,218
2016-17,Ashanti,Guineafowl,110
2016-17,Ashanti,Herring (smoked),20949.5
2016-17,Ashanti,Honey,595.5
2016-17,Ashanti,Ice Cream,357.7
2016-17,Ashanti,Instant Noodle,1089.6
2016-17,Ashanti,Juice,6003.9
2016-17,Ashanti,Kapla,8873.5
2016-17,Ashanti,Lime,24
2016-17,Ashanti,Macaroni,66.2
2016-17,Ashanti,Mackerel (processed),6731.57
2016-17,Ashanti,Maize (flour/dough),11144.02
