t,m,j,u,Price
2016-17,Ashanti,Agushie Seed,American Tin (Olonka),8
2016-17,Ashanti,Agushie Seed,Balls,1
2016-17,Ashanti,Agushie Seed,Bowl,2.714285714
2016-17,Ashanti,Agushie Seed,Bundle,4
2016-17,Ashanti,Agushie Seed,Gram,1
2016-17,Ashanti,Agushie Seed,Heap,1.381313131
2016-17,Ashanti,Agushie Seed,Margarin tin,5.512698413
2016-17,Ashanti,Agushie Seed,Mini bag,2
2016-17,Ashanti,Agushie Seed,Other unit,1
2016-17,Ashanti,Agushie Seed,Pound,5
2016-17,Ashanti,Agushie Seed,Single,1.99122807
2016-17,Ashanti,Agushie Seed,Tin,1.857142857
2016-17,Ashanti,Akpeteshie,Beer bottle,7.6
2016-17,Ashanti,Akpeteshie,Bowl,0.5
2016-17,Ashanti,Akpeteshie,Fanta bottle,8.25
2016-17,Ashanti,Akpeteshie,Other unit,25
2016-17,Ashanti,Akpeteshie,Single,1
2016-17,Ashanti,Akpeteshie,Tot (25mls),0.6318696345
2016-17,Ashanti,Apple,Balls,1
2016-17,Ashanti,Apple,Heap,1
2016-17,Ashanti,Apple,Piece,1
2016-17,Ashanti,Apple,Single,2.138167388
2016-17,Ashanti,Avocado,Heap,2
2016-17,Ashanti,Avocado,Single,2.383530824
2016-17,Ashanti,Bambara Bean,Margarin tin,9
2016-17,Ashanti,Banana,Bowl,2.5
2016-17,Ashanti,Banana,Bunch,4.212421646
2016-17,Ashanti,Banana,Bundle,4.25
2016-17,Ashanti,Banana,Fingers,0.4443939473
2016-17,Ashanti,Banana,Heap,2.619642857
2016-17,Ashanti,Banana,Piece,0.2666666667
2016-17,Ashanti,Banana,Single,0.5127893495
2016-17,Ashanti,Beef,Bowl,4
2016-17,Ashanti,Beef,Heap,7.493452523
2016-17,Ashanti,Beef,Kilogram,0
2016-17,Ashanti,Beef,Piece,3.8
2016-17,Ashanti,Beef,Pound,9.409941543
2016-17,Ashanti,Beef,Single,4.598333333
2016-17,Ashanti,Beef (corned),Hours,9
2016-17,Ashanti,Beef (corned),Single,18.3
2016-17,Ashanti,Beef (corned),Tin,7.066713352
2016-17,Ashanti,Beef (face),Heap,9
2016-17,Ashanti,Beef (face),Pound,9.579844961
2016-17,Ashanti,Beef (leg),Gram,20
2016-17,Ashanti,Beef (leg),Heap,9.845822707
2016-17,Ashanti,Beef (leg),Piece,1.755430672
2016-17,Ashanti,Beef (leg),Pound,12.53488372
2016-17,Ashanti,Beef (leg),Single,15.5982906
2016-17,Ashanti,Beef (offal),Heap,5.936139332
2016-17,Ashanti,Beef (offal),Kilogram,9.25
2016-17,Ashanti,Beef (offal),Other unit,4
2016-17,Ashanti,Beef (offal),Piece,2.416666667
2016-17,Ashanti,Beef (offal),Pound,11.02197802
2016-17,Ashanti,Beef (offal),Single,3.446428571
2016-17,Ashanti,Beef (steak),Heap,6.028455285
2016-17,Ashanti,Beef (steak),Piece,6.665079365
2016-17,Ashanti,Beef (steak),Pound,9.278953369
2016-17,Ashanti,Beef (steak),Single,3.625
2016-17,Ashanti,Beer,Beer bottle,4.41692144
2016-17,Ashanti,Beer,Bowl,1
2016-17,Ashanti,Beer,Crate,57.5
2016-17,Ashanti,Beer,Other unit,3.916666667
2016-17,Ashanti,Beer,Single,4.758665077
2016-17,Ashanti,Biscuit,Packet,3.941991342
2016-17,Ashanti,Biscuit,Piece,1.266666667
2016-17,Ashanti,Biscuit,Satchet,1.086857143
2016-17,Ashanti,Biscuit,Single,1.823300214
2016-17,Ashanti,Bitters,Beer bottle,9
2016-17,Ashanti,Bitters,Fanta bottle,7
2016-17,Ashanti,Bitters,Other unit,0.9
2016-17,Ashanti,Bitters,Satchet,0.8283950617
2016-17,Ashanti,Bitters,Single,10.55555556
2016-17,Ashanti,Bitters,Tot (25mls),0.8678371793
2016-17,Ashanti,Bread,Loaf,2.727131864
2016-17,Ashanti,Bread,Piece,1.106060606
2016-17,Ashanti,Cabbage,Bowl,1
2016-17,Ashanti,Cabbage,Single,3
2016-17,Ashanti,Canned Fruits,Packet,1
2016-17,Ashanti,Canned Fruits,Single,3.396825397
2016-17,Ashanti,Carrot,Bowl,2.930107527
2016-17,Ashanti,Carrot,Bunch,5
2016-17,Ashanti,Carrot,Bundle,2.180606061
2016-17,Ashanti,Carrot,Fingers,0.375598698
2016-17,Ashanti,Carrot,Gram,0.9652014652
2016-17,Ashanti,Carrot,Heap,1.808306878
2016-17,Ashanti,Carrot,Piece,0.5488095238
2016-17,Ashanti,Carrot,Single,0.7096843232
2016-17,Ashanti,Cassava (dough),American Tin (Olonka),6.85
2016-17,Ashanti,Cassava (dough),Balls,1.746584101
2016-17,Ashanti,Cassava (dough),Bowl,1.569767442
2016-17,Ashanti,Cassava (dough),Heap,1.226494224
2016-17,Ashanti,Cassava (dough),Margarin tin,1.125
2016-17,Ashanti,Cassava (dried),American Tin (Olonka),3.170454545
2016-17,Ashanti,Cassava (dried),Bowl,5
2016-17,Ashanti,Cassava (dried),Heap,1.833891369
2016-17,Ashanti,Cassava (dried),Margarin tin,1.982954724
2016-17,Ashanti,Cassava (fresh),American Tin (Olonka),2
2016-17,Ashanti,Cassava (fresh),Basket,12.07089728
2016-17,Ashanti,Cassava (fresh),Beer bottle,30
2016-17,Ashanti,Cassava (fresh),Bowl,13.80821918
2016-17,Ashanti,Cassava (fresh),Bucket,13.5
2016-17,Ashanti,Cassava (fresh),Bunch,5.666666667
2016-17,Ashanti,Cassava (fresh),Fingers,1.361904762
2016-17,Ashanti,Cassava (fresh),Gram,0.5
2016-17,Ashanti,Cassava (fresh),Heap,4.240110103
2016-17,Ashanti,Cassava (fresh),Piece,0.5743006993
2016-17,Ashanti,Cassava (fresh),Single,0.7855283933
2016-17,Ashanti,Cassava (fresh),Tubers,1.99776333
2016-17,Ashanti,"Cassava (white, flour)",American Tin (Olonka),6.842105263
2016-17,Ashanti,"Cassava (white, flour)",Bowl,6.4
2016-17,Ashanti,"Cassava (white, flour)",Margarin tin,3.235910826
2016-17,Ashanti,"Cassava (yellow, flour)",American Tin (Olonka),5.821428571
2016-17,Ashanti,"Cassava (yellow, flour)",Bowl,8
2016-17,Ashanti,"Cassava (yellow, flour)",Margarin tin,2.805
2016-17,Ashanti,Cerelac (Baby food),American Tin (Olonka),8
2016-17,Ashanti,Cerelac (Baby food),Gram,11.24736842
2016-17,Ashanti,Cerelac (Baby food),Margarin tin,2
2016-17,Ashanti,Cerelac (Baby food),Other unit,4
2016-17,Ashanti,Cerelac (Baby food),Packet,5.865151515
2016-17,Ashanti,Cerelac (Baby food),Satchet,3.850859788
2016-17,Ashanti,Cerelac (Baby food),Tin,12.20168622
2016-17,Ashanti,Chewing Gum,Blister / Strip,2
2016-17,Ashanti,Chewing Gum,Millilitre,0.2
2016-17,Ashanti,Chewing Gum,Packet,2.972142857
2016-17,Ashanti,Chewing Gum,Piece,1.1
2016-17,Ashanti,Chewing Gum,Satchet,1.233333333
2016-17,Ashanti,Chewing Gum,Single,0.9675811688
2016-17,Ashanti,Chewing Gum,Stick,0.2
2016-17,Ashanti,Chicken (breast),Heap,3.5
2016-17,Ashanti,Chicken (breast),Kilogram,7
2016-17,Ashanti,Chicken (breast),Other unit,5
2016-17,Ashanti,Chicken (breast),Piece,1.6
2016-17,Ashanti,Chicken (breast),Pound,6
2016-17,Ashanti,Chicken (breast),Single,2.714285714
2016-17,Ashanti,Chicken (broiler),Heap,5.5
2016-17,Ashanti,Chicken (broiler),Kilogram,14
2016-17,Ashanti,Chicken (broiler),Piece,10.04166667
2016-17,Ashanti,Chicken (broiler),Pound,10.0625
2016-17,Ashanti,Chicken (broiler),Single,25.93650794
2016-17,Ashanti,Chicken (frozen),Heap,2
2016-17,Ashanti,Chicken (frozen),Kilogram,7.166666667
2016-17,Ashanti,Chicken (frozen),Pound,5.2
2016-17,Ashanti,Chicken (frozen),Single,2.166666667
2016-17,Ashanti,Chicken (gizzard),Heap,5
2016-17,Ashanti,Chicken (gizzard),Kilogram,11.66666667
2016-17,Ashanti,Chicken (gizzard),Other unit,10
2016-17,Ashanti,Chicken (gizzard),Packet,12.33333333
2016-17,Ashanti,Chicken (gizzard),Pound,5
2016-17,Ashanti,Chicken (gizzard),Single,10.75
2016-17,Ashanti,Chicken (live),Single,33.50321558
2016-17,Ashanti,Chicken (thigh),Bowl,12.83333333
2016-17,Ashanti,Chicken (thigh),Box/Carton,82.5
2016-17,Ashanti,Chicken (thigh),Gram,5.433333333
2016-17,Ashanti,Chicken (thigh),Heap,6.917606266
2016-17,Ashanti,Chicken (thigh),Kilogram,9.778333333
2016-17,Ashanti,Chicken (thigh),Millilitre,5
2016-17,Ashanti,Chicken (thigh),Other unit,10
2016-17,Ashanti,Chicken (thigh),Piece,5.569223986
2016-17,Ashanti,Chicken (thigh),Pound,8.928767448
2016-17,Ashanti,Chicken (thigh),Single,6.578238145
2016-17,Ashanti,Chicken (wing),Bowl,1
2016-17,Ashanti,Chicken (wing),Heap,5.3
2016-17,Ashanti,Chicken (wing),Kilogram,12
2016-17,Ashanti,Chicken (wing),Piece,0.9261904762
2016-17,Ashanti,Chicken (wing),Pound,8.944444444
2016-17,Ashanti,Chicken (wing),Single,2.987615776
2016-17,Ashanti,Chocolate,Bar,4
2016-17,Ashanti,Chocolate,Satchet,7
2016-17,Ashanti,Chocolate,Single,6
2016-17,Ashanti,Cigarette,Box/Carton,1.5
2016-17,Ashanti,Cigarette,Other unit,0.5
