t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,log HSize
2012-13,Western,60001/01,,,,1,,1,,,2,,,,,,1.386294361
2012-13,Western,60001/02,,,,,1,,,,1,,,,1,,1.098612289
2012-13,Western,60001/03,,1,,,,,1,1,3,,,1,,1,2.079441542
2012-13,Western,60001/04,,,,,1,,,,,,,1,1,,1.098612289
2012-13,Western,60001/05,,1,1,,2,1,,1,,,,,1,,1.945910149
2012-13,Western,60001/06,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Western,60001/07,,,,,1,,,,,,,1,1,,1.098612289
2012-13,Western,60001/08,,,,,,,1,,,,,3,,1,1.609437912
2012-13,Western,60001/09,1,1,,,1,,,,,,,1,,,1.386294361
2012-13,Western,60001/10,,1,1,,,1,,,,1,1,,1,,1.791759469
2012-13,Western,60001/11,,,,,,1,1,,,,,,,1,1.098612289
2012-13,Western,60001/12,,,,,,,,,,,,1,,,
2012-13,Western,60001/13,,,,,1,,,,,,,,,,
2012-13,Western,60001/14,,,,,1,,,1,1,,,,1,,1.386294361
2012-13,Western,60001/15,,,,,,,,,1,,,,1,,0.6931471806
2012-13,Western,60002/01,1,,,1,1,1,,,2,2,,,1,,2.197224577
2012-13,Western,60002/02,,,,,1,,1,,,,,,,,0.6931471806
2012-13,Western,60002/03,,,,,,,,,,,,,1,,
2012-13,Western,60002/04,,1,2,,,1,,,1,,1,,1,,1.945910149
2012-13,Western,60002/05,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60002/06,,,,,1,1,,1,,,1,1,,,1.609437912
2012-13,Western,60002/07,,,,,,,,,,,,3,,,1.098612289
2012-13,Western,60002/08,,2,,,1,1,,,,1,,,,,1.609437912
2012-13,Western,60002/09,,,1,,1,,,,,,,,,,0.6931471806
2012-13,Western,60002/10,1,,,1,,1,,,,,,1,,,1.386294361
2012-13,Western,60002/11,,,,,,,1,,,,,,,,
2012-13,Western,60002/12,1,3,1,,,1,1,,,1,2,1,,,2.397895273
2012-13,Western,60002/13,,,,1,1,1,1,,,1,,1,,1,1.945910149
2012-13,Western,60002/14,,1,,1,,1,,,,,1,,,1,1.609437912
2012-13,Western,60002/15,1,1,1,,,,,,,,,,1,,1.386294361
2012-13,Western,60003/01,1,,1,1,1,1,,,,,1,2,1,1,2.302585093
2012-13,Western,60003/02,1,,,,1,,,,2,,,,1,,1.609437912
2012-13,Western,60003/03,,,,,,1,,1,1,1,1,,1,,1.791759469
2012-13,Western,60003/04,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Western,60003/05,,,,,2,,1,,,,,1,1,1,1.791759469
2012-13,Western,60003/06,,,,,1,,,,,,,,,,
2012-13,Western,60003/07,,,,,1,,,,,,,,,,
2012-13,Western,60003/08,,,,,,,,,1,,,1,,,0.6931471806
2012-13,Western,60003/09,,,,,1,,,,1,,,1,,,1.098612289
2012-13,Western,60003/10,,,,,,,,,,,,1,,,
2012-13,Western,60003/11,,,,,1,,1,1,,,,,1,,1.386294361
2012-13,Western,60003/12,,,,,,,,,,1,,,1,,0.6931471806
2012-13,Western,60003/13,,1,,,1,1,,,,,1,3,1,,2.079441542
2012-13,Western,60003/14,,,,,,1,,1,,,,,,,0.6931471806
2012-13,Western,60003/15,,,,,,,,,,,,,,1,
2012-13,Western,60004/01,,,,,,,,,,,,,1,,
2012-13,Western,60004/02,,1,,,1,1,,1,,,,1,,1,1.791759469
2012-13,Western,60004/03,,2,,,,,1,,,,,,,,1.098612289
2012-13,Western,60004/04,,,,,,,,,,,,,1,,
2012-13,Western,60004/05,,1,,,,1,,,1,1,1,1,1,,1.945910149
2012-13,Western,60004/06,,,1,,,1,,,,,2,,,1,1.609437912
2012-13,Western,60004/07,,,,,1,,,,,,,,,,
2012-13,Western,60004/08,,,,,,,,,,,,1,,,
2012-13,Western,60004/09,,,,,,,,,,,,1,,,
2012-13,Western,60004/10,,,1,,1,1,1,,,,1,,,,1.609437912
2012-13,Western,60004/11,1,,1,1,,1,,,,1,1,,,1,1.945910149
2012-13,Western,60004/12,,,,,,,1,,,,,,,,
2012-13,Western,60004/13,,,,2,1,1,,1,,,,1,,,1.791759469
2012-13,Western,60004/14,,,,1,,1,,,,,,,,,0.6931471806
2012-13,Western,60004/15,,2,1,,2,,1,1,3,,,,,,2.302585093
2012-13,Western,60005/01,,,,,,1,,,,,,,,,
2012-13,Western,60005/02,,,,,,,,,,,,1,,,
2012-13,Western,60005/03,,,,,,1,,,,,,,,,
2012-13,Western,60005/04,,,,,,,,,,,,,1,,
2012-13,Western,60005/05,,,,,,1,,,1,,1,,,,1.098612289
2012-13,Western,60005/06,,,,,,,,,,,,1,,,
2012-13,Western,60005/07,,,,,,,,,,,,,,1,
2012-13,Western,60005/08,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Western,60005/09,,,,,,,,,,,,,1,,
2012-13,Western,60005/10,,1,,,1,,,,,,,,,,0.6931471806
2012-13,Western,60005/11,,,,,,,,,,,,1,,,
2012-13,Western,60005/12,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Western,60005/13,1,,,1,,,1,,2,,,,,1,1.791759469
2012-13,Western,60005/14,,,,1,,1,,,,,,,,,0.6931471806
2012-13,Western,60005/15,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60006/01,,,,,,1,,1,,1,,,1,,1.386294361
2012-13,Western,60006/02,1,1,,,,1,,,,,,,,,1.098612289
2012-13,Western,60006/03,,1,,1,,1,,1,1,,2,,1,,2.079441542
