i,t,m,age,sex,HH_size
83732,2015,USA,62,Male,2
83733,2015,USA,53,Male,1
83734,2015,USA,78,Male,2
83735,2015,USA,56,Female,1
83736,2015,USA,42,Female,5
83737,2015,USA,72,Female,5
83738,2015,USA,11,Female,5
83739,2015,USA,4,Male,5
83740,2015,USA,1,Male,7
83741,2015,USA,22,Male,3
83742,2015,USA,32,Female,4
83743,2015,USA,18,Male,3
83744,2015,USA,56,Male,1
83745,2015,USA,15,Female,3
83746,2015,USA,4,Female,4
83747,2015,USA,46,Male,2
83748,2015,USA,3,Male,6
83749,2015,USA,17,Female,5
83750,2015,USA,45,Male,5
83751,2015,USA,16,Female,6
83752,2015,USA,30,Female,2
83753,2015,USA,15,Male,3
83754,2015,USA,67,Female,7
83755,2015,USA,67,Male,1
83756,2015,USA,16,Male,6
83757,2015,USA,57,Female,5
83758,2015,USA,80,Male,1
83759,2015,USA,19,Female,3
83760,2015,USA,3,Female,6
83761,2015,USA,24,Female,1
83762,2015,USA,27,Female,2
83763,2015,USA,2,Female,5
83764,2015,USA,14,Male,4
83765,2015,USA,5.40E-79,Female,3
83766,2015,USA,10,Female,5
83767,2015,USA,54,Female,6
83768,2015,USA,15,Female,5
83769,2015,USA,49,Male,4
83770,2015,USA,15,Male,4
83771,2015,USA,2,Female,3
83772,2015,USA,2,Female,3
83773,2015,USA,80,Female,1
83774,2015,USA,13,Female,6
83775,2015,USA,69,Female,1
83776,2015,USA,58,Female,3
83777,2015,USA,56,Male,5
83778,2015,USA,16,Male,4
83779,2015,USA,1,Female,3
83780,2015,USA,4,Male,5
83781,2015,USA,27,Female,2
83782,2015,USA,5.40E-79,Female,7
83783,2015,USA,17,Male,4
83784,2015,USA,22,Male,4
83785,2015,USA,60,Female,4
83786,2015,USA,51,Male,2
83787,2015,USA,68,Female,1
83788,2015,USA,69,Female,3
83789,2015,USA,66,Male,2
83790,2015,USA,56,Male,2
83791,2015,USA,80,Female,2
83792,2015,USA,3,Female,3
83793,2015,USA,11,Female,6
83794,2015,USA,10,Female,4
83795,2015,USA,5,Male,4
83796,2015,USA,4,Female,4
83797,2015,USA,1,Female,5
83798,2015,USA,5.40E-79,Female,4
83799,2015,USA,37,Female,3
83800,2015,USA,10,Male,4
83801,2015,USA,80,Female,2
83802,2015,USA,29,Female,6
83803,2015,USA,27,Male,1
83804,2015,USA,1,Male,6
83805,2015,USA,7,Female,3
83806,2015,USA,2,Female,4
83807,2015,USA,10,Female,7
83808,2015,USA,4,Male,7
83809,2015,USA,20,Female,4
83810,2015,USA,6,Female,6
83811,2015,USA,7,Female,7
83812,2015,USA,68,Female,3
83813,2015,USA,24,Male,1
83814,2015,USA,11,Female,4
83815,2015,USA,15,Female,6
83816,2015,USA,27,Male,3
83817,2015,USA,42,Male,5
83818,2015,USA,80,Female,1
83819,2015,USA,16,Female,4
83820,2015,USA,70,Male,2
83821,2015,USA,80,Male,1
83822,2015,USA,20,Female,2
83823,2015,USA,29,Female,5
83824,2015,USA,23,Male,4
83825,2015,USA,16,Female,6
83826,2015,USA,6,Male,7
83827,2015,USA,61,Male,2
83828,2015,USA,39,Female,7
83829,2015,USA,50,Male,5
83830,2015,USA,15,Male,4
83831,2015,USA,15,Female,7
83832,2015,USA,50,Female,5
83833,2015,USA,14,Male,4
83834,2015,USA,69,Male,1
83835,2015,USA,13,Female,4
83836,2015,USA,18,Female,6
83837,2015,USA,45,Female,7
83838,2015,USA,8,Female,6
83839,2015,USA,13,Male,4
83840,2015,USA,5.40E-79,Female,4
83841,2015,USA,13,Male,4
83842,2015,USA,1,Male,3
83843,2015,USA,80,Male,2
83844,2015,USA,27,Male,5
83845,2015,USA,44,Female,7
83846,2015,USA,41,Female,2
83847,2015,USA,18,Male,3
83848,2015,USA,10,Male,4
83849,2015,USA,71,Male,3
83850,2015,USA,13,Male,4
83851,2015,USA,37,Female,4
83852,2015,USA,5.40E-79,Female,5
83853,2015,USA,49,Female,3
83854,2015,USA,46,Female,4
83855,2015,USA,12,Female,4
83856,2015,USA,30,Male,4
83857,2015,USA,31,Female,2
83858,2015,USA,5.40E-79,Male,7
83859,2015,USA,2,Male,7
83860,2015,USA,41,Male,4
83861,2015,USA,80,Male,1
83862,2015,USA,19,Female,4
83863,2015,USA,35,Male,5
83864,2015,USA,4,Male,2
83865,2015,USA,21,Female,4
83866,2015,USA,40,Male,3
83867,2015,USA,13,Male,4
83868,2015,USA,11,Female,4
83869,2015,USA,67,Female,1
83870,2015,USA,48,Male,5
83871,2015,USA,30,Female,7
83872,2015,USA,63,Male,4
83873,2015,USA,4,Male,7
83874,2015,USA,54,Male,3
83875,2015,USA,42,Female,7
83876,2015,USA,71,Female,1
83877,2015,USA,13,Female,4
83878,2015,USA,10,Male,7
83879,2015,USA,14,Female,5
83880,2015,USA,79,Female,6
83881,2015,USA,32,Female,4
83882,2015,USA,4,Female,3
83883,2015,USA,80,Female,1
83884,2015,USA,61,Male,4
83885,2015,USA,38,Female,4
83886,2015,USA,74,Male,2
83887,2015,USA,51,Female,6
83888,2015,USA,3,Male,7
83889,2015,USA,26,Male,2
83890,2015,USA,18,Female,5
83891,2015,USA,54,Female,1
83892,2015,USA,2,Female,4
83893,2015,USA,68,Female,2
83894,2015,USA,60,Male,7
83895,2015,USA,80,Female,3
83896,2015,USA,9,Female,5
83897,2015,USA,29,Female,2
83898,2015,USA,55,Male,3
83899,2015,USA,27,Male,2
83900,2015,USA,52,Female,1
83901,2015,USA,10,Female,4
83902,2015,USA,49,Male,2
83903,2015,USA,47,Female,3
83904,2015,USA,80,Female,2
83905,2015,USA,9,Male,7
83906,2015,USA,11,Female,2
83907,2015,USA,22,Male,4
83908,2015,USA,51,Male,2
83909,2015,USA,49,Female,3
83910,2015,USA,37,Male,2
83911,2015,USA,43,Female,4
83912,2015,USA,1,Male,6
